"year","month","capacity","complete","generated_el","time","parent_company","op_time","area","area3","plant_1","wind","Hydro","photovoltaic","Fossil.fuel","big_five","yearmonth","bf_covid","type_of_p","af_covid","new_case"
16,12,6.95,1390,1.153,1658.675,"中广核集团",2014,"运城市芮城县","yuncheng","shilipingfengdianchang",1,0,0,0,0,"Dec 2016","1","wind","0",0
16,12,120,0,39.443,3286.883,"格盟集团公司",2005,"吕梁市柳林县","luliang","huaguangdianchang",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,60,27910,35.517,5919.483,"中铝集团",2005,"运城市河津市","yuncheng","huazedianchang",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,12,1990,1.875,1562.361,"华润集团",2015,"忻州市原平县","xinzhou","zhuofenglingfengdianchang",1,0,0,0,0,"Dec 2016","1","wind","0",0
16,12,29.85,3850,5.57,1865.975,"国电集团公司",2012,"忻州市静乐县","xinzhou","nanhuashanfengdianchang",1,0,0,0,1,"Dec 2016","1","wind","0",0
16,12,15,2400,2.868,1911.776,"北京天润新能",2015,"朔州市平鲁区","shuozhou","wolongdongfengdianchang",1,0,0,0,0,"Dec 2016","1","wind","0",0
16,12,15,2500,2.861,1907.502,"国家能源集团",2014,"忻州市静乐县","xinzhou","shuangjingfengdianchang",1,0,0,0,1,"Dec 2016","1","wind","0",0
16,12,0.986,110,0.168,1705.957,"else",0,"朔州市右玉县","shuozhou","youyuguangfu",0,0,1,0,0,"Dec 2016","1","photovoltaic","0",0
16,12,66,36600,22.279,3375.667,"同煤集团",0,"大同市浑源县","datong","hengbeidianchang",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,10,1020,0.897,897.483,"国家电投集团公司",2017,"朔州市山阴县","shuozhou","heshengbaoguangfu",0,0,1,0,1,"Dec 2016","1","photovoltaic","0",0
16,12,20,13170,8.151,4075.65,"else",0,"大同市云岗区","datong","tongmeidianchang",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,2,360,0.473,2362.758,"晋能集团",2017,"晋中市太谷区","jinzhong","xushengguangfu",0,0,1,0,0,"Dec 2016","1","photovoltaic","0",0
16,12,10,1100,1.753,1753.478,"协鑫集团",2017,"大同市大同县","datong","tongxinguangfu",0,0,1,0,0,"Dec 2016","1","photovoltaic","0",0
16,12,4.8,380,0.365,759.933,"大唐集团公司",2015,"朔州市应县","shuozhou","houhaifengdianchang",1,0,0,0,1,"Dec 2016","1","wind","0",0
16,12,5,500,0.343,686.818,"华润集团",2016,"大同市新荣区","datong","qixinguangfu",0,0,1,0,0,"Dec 2016","1","photovoltaic","0",0
16,12,27,3780,8.892,3293.444,"神华集团",0,"忻州市保德县","xinzhou","shendongdianchang",0,0,0,1,1,"Dec 2016","1","fossil-fuel","0",0
16,12,10,1100,0.82,820.086,"同煤集团",2017,"朔州市右玉县","shuozhou","hexuguangfu",0,0,1,0,0,"Dec 2016","1","photovoltaic","0",0
16,12,10,2680,2.675,2674.9,"else",2019,"运城市河津市","yuncheng","guzhendianchang",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,60,26880,19.899,3316.45,"晋能集团",2016,"吕梁市汾阳县","luliang","guofengdianchang",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,70,19330,12.36,3344.048,"晋能集团",2016,"吕梁市文水县","luliang","guojindianchang",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,6,2350,1.115,1859.167,"阳煤集团",0,"阳泉市郊","yangquan","guoyangdianchang",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,4.95,730,0.392,792.776,"大唐集团公司",2015,"朔州市应县","shuozhou","shengshuitangfengdianchang",1,0,0,0,1,"Dec 2016","1","wind","0",0
16,12,9.9,1790,2.251,2273.87,"else",0,"大同市广灵县","datong","yuemingshanfengdianchang",1,0,0,0,0,"Dec 2016","1","wind","0",0
16,12,9.9,3540,3.376,3409.854,"else",0,"大同市广灵县","datong","wanghufengdianchang",1,0,0,0,0,"Dec 2016","1","wind","0",0
16,12,252,74560,64.955,4869.891,"else",0,"大同市云岗区","datong","tashandianchang",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,29.85,5380,6.52,2184.092,"北京天润新能投资有限公司",2012,"朔州市平鲁区","shuozhou","dashantaifengdianchang",1,0,0,0,0,"Dec 2016","1","wind","0",0
16,12,9.9,1950,2.126,2147.873,"华润集团",2012,"朔州市平鲁区","shuozhou","daliangshanfengdianchang",1,0,0,0,0,"Dec 2016","1","wind","0",0
16,12,27,13240,7.476,2768.926,"else",0,"大同市平城区","datong","danengdianchang",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,12.8,4820,4.319,3374.219,"晋能集团",0,"忻州市保德县","xinzhou","tianqiaoshuidian",0,1,0,0,0,"Dec 2016","1","hydro","0",0
16,12,60,0,13.782,2297.017,"else",0,"太原市晋源区","taiyuan","taiyiwuqi",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,60,15300,17.705,2950.833,"else",0,"太原市晋源区","taiyuan","taiyiliuqi",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,66,34020,25.733,3898.924,"大唐集团公司",0,"太原市尖草坪区","taiyuan","taierqiqi",0,0,0,1,1,"Dec 2016","1","fossil-fuel","0",0
16,12,60,29820,29.472,4911.983,"大唐集团公司",0,"太原市尖草坪区","taiyuan","taierliuqi",0,0,0,1,1,"Dec 2016","1","fossil-fuel","0",0
