"","plant","capacity","designed_capacity","complete","generated_el","time","month","year","parent_company","op_time"
"1","万家寨水电",54,54,0.83,2.033,376.519,3,"17","else",NA
"2","万家寨水电",54,54,0.53,7.355,1361.995,12,"17","else",NA
"3","万家寨水电",54,54,0.685,6.855,1269.519,12,"16","else",NA
"4","万家寨水电",54,54,0.495,2.529,468.241,4,"17","else",NA
"5","万家寨水电",54,54,0.462,3.119,577.685,6,"17","else",NA
"6","万家寨水电",54,54,0.129,2.657,492.056,5,"17","else",NA
"7","万家寨水电",54,54,0.856,7.119,1318.302,10,"17","else",NA
"8","万家寨水电",54,54,0.394,4.024,745.204,8,"17","else",NA
"9","万家寨水电",54,54,1.202,8.418,1558.879,11,"17","else",NA
"10","万家寨水电",54,54,0.469,0.469,86.852,1,"17","else",NA
"11","万家寨水电",54,54,0.734,1.203,222.759,2,"17","else",NA
"12","万家寨水电",54,54,0.511,3.63,672.296,7,"17","else",NA
"11000","万家寨水电",54,54,3.634,14.184,2627,7,"19","else",NA
"268","万家寨水电",54,54,0.871,1.644,304.379,2,"18","else",NA
"3335","万家寨水电",54,54,0.952,3.469,642.496,4,"18","else",NA
"4469","万家寨水电",54,54,1.437,6.151,1139.001,6,"18","else",NA
"5294","万家寨水电",54,54,2.266,6.118,1133,4,"19","else",NA
"61000","万家寨水电",54,54,1.145,2.339,433,2,"19","else",NA
"7918","万家寨水电",54,54,1.513,3.852,713,3,"19","else",NA
"8111","万家寨水电",54,54,1.263,6.21,1149.977,5,"20","else",NA
"9666","万家寨水电",54,54,1.193,1.193,221,1,"19","else",NA
"10100","万家寨水电",54,54,2.521,12.551,2324.35,10,"18","else",NA
"11100","万家寨水电",54,54,1.081,24.7,4574.01,12,"19","else",NA
"12100","万家寨水电",54,54,1.731,14.282,2644.87,11,"18","else",NA
"13","万家寨水电",54,54,0.682,0.682,126.24,1,"18","else",NA
"14100","万家寨水电",54,54,2.076,8.227,1523.45,7,"18","else",NA
"15100","万家寨水电",54,54,1.185,10.03,1857.41,9,"18","else",NA
"16100","万家寨水电",54,54,2.354,10.55,1954,6,"19","else",NA
"17","万家寨水电",54,54,1.24,2.211,410,2,"20","else",NA
"18","万家寨水电",54,54,0.619,8.845,1638.03,8,"18","else",NA
"19100","万家寨水电",54,54,1.244,4.714,872.931,5,"18","else",NA
"20100","万家寨水电",54,54,2.577,21.434,3969,10,"19","else",NA
"21100","万家寨水电",54,54,2.184,23.619,4374,11,"19","else",NA
"22100","万家寨水电",54,54,1.685,15.869,2939,8,"19","else",NA
"23100","万家寨水电",54,54,2.077,8.196,1518,5,"19","else",NA
"24100","万家寨水电",54,54,1.008,2.517,466.108,3,"18","else",NA
"25100","万家寨水电",54,54,1.427,4.947,916.161,4,"20","else",NA
"26100","万家寨水电",54,54,2.989,18.858,3492,9,"19","else",NA
"27100","万家寨水电",54,54,0.971,0.971,180,1,"20","else",NA
"28100","万家寨水电",54,54,1.866,8.076,1495.492,6,"20","else",NA
"29100","万家寨水电",54,54,1.11,15.392,2850.35,12,"18","else",NA
"30100","万家寨水电",54,54,1.309,3.52,652,3,"20","else",NA
"31","上坡光伏",15,15,0.006,0.032,21,2,"20","else",2019
"32100","上坡光伏",15,15,0.002,0.002,1.173,12,"19","else",2019
"33100","上坡光伏",15,15,0.026,0.026,17,1,"20","else",2019
"3467","上坡光伏",15,15,0.152,0.263,NA,4,"20","else",2019
"35100","上坡光伏",15,15,0.081,0.139,5842,3,"20","else",2019
"36100","上坡光伏",15,15,0.17,0.433,288.842,5,"20","else",2019
"37100","上坡光伏",15,15,0.128,0.561,374.225,6,"20","else",2019
"14","上田光伏",4,4,0.053,0.25,626.247,12,"17","代县宝通光能新能源科技有限公司",NA
"15","上田光伏",4,4,0.062,0.198,494.26,11,"17","代县宝通光能新能源科技有限公司",NA
"16","上田光伏",4,4,0.046,0.135,338.46,10,"17","代县宝通光能新能源科技有限公司",NA
"38100","上田光伏",4,4,0.052,0.052,131.055,1,"18","代县宝通光能新能源科技有限公司",NA
"3966","上田光伏",4,4,0.057,0.109,273.172,2,"18","代县宝通光能新能源科技有限公司",NA
"4035","上田光伏",4,4,0.067,0.303,756.958,5,"18","代县宝通光能新能源科技有限公司",NA
"41100","上田光伏",4,4,0.065,0.236,590.088,4,"18","代县宝通光能新能源科技有限公司",NA
"42100","上田光伏",4,4,0.062,0.171,427.432,3,"18","代县宝通光能新能源科技有限公司",NA
"43100","上田光伏",4,4,0.056,0.42,1049.92,7,"18","代县宝通光能新能源科技有限公司",NA
"44100","上田光伏",4,4,0.062,0.364,911.058,6,"18","代县宝通光能新能源科技有限公司",NA
"45100","上田光伏",4,4,0.054,0.474,1184.87,8,"18","代县宝通光能新能源科技有限公司",NA
"4656","上田光伏",4,4,0.053,0.527,1317.86,9,"18","代县宝通光能新能源科技有限公司",NA
"47100","上田光伏",4,4,0.065,0.24,600,4,"19","代县宝通光能新能源科技有限公司",2017
"48100","上田光伏",4,4,0.06,0.376,940,6,"19","代县宝通光能新能源科技有限公司",2017
"49100","上田光伏",4,4,0.051,0.644,1609.37,11,"18","代县宝通光能新能源科技有限公司",2017
"50100","上田光伏",4,4,0.059,0.616,1540,10,"19","代县宝通光能新能源科技有限公司",2017
"51100","上田光伏",4,4,0.052,0.104,261,2,"19","代县宝通光能新能源科技有限公司",2017
"52100","上田光伏",4,4,0.055,0.716,1789.658,12,"19","代县宝通光能新能源科技有限公司",2017
"53100","上田光伏",4,4,0.066,0.495,1237,8,"19","代县宝通光能新能源科技有限公司",2017
"5497","上田光伏",4,4,0.075,0.252,630.095,4,"20","代县宝通光能新能源科技有限公司",2017
"55100","上田光伏",4,4,0.071,0.175,437,3,"19","代县宝通光能新能源科技有限公司",2017
"56100","上田光伏",4,4,0.047,0.047,117,1,"20","代县宝通光能新能源科技有限公司",2017
"57100","上田光伏",4,4,0.055,0.102,255,2,"20","代县宝通光能新能源科技有限公司",2017
"58100","上田光伏",4,4,0.076,0.316,790,5,"19","代县宝通光能新能源科技有限公司",2017
"5965","上田光伏",4,4,0.075,0.177,441,3,"20","代县宝通光能新能源科技有限公司",2017
"60100","上田光伏",4,4,0.069,0.321,801.518,5,"20","代县宝通光能新能源科技有限公司",2017
"61100","上田光伏",4,4,0.062,0.557,1393,9,"19","代县宝通光能新能源科技有限公司",2017
"62100","上田光伏",4,4,0.042,0.658,1646,11,"19","代县宝通光能新能源科技有限公司",2017
"63100","上田光伏",4,4,0.053,0.429,1073,7,"19","代县宝通光能新能源科技有限公司",2017
"64100","上田光伏",4,4,0.06,0.38,950.505,6,"20","代县宝通光能新能源科技有限公司",2017
"65100","上田光伏",4,4,0.053,0.053,132,1,"19","代县宝通光能新能源科技有限公司",2017
"66100","上田光伏",4,4,0.048,0.692,1730.59,12,"18","代县宝通光能新能源科技有限公司",2017
"67100","上田光伏",4,4,0.066,0.593,1483.07,10,"18","代县宝通光能新能源科技有限公司",2017
"68","下堡头电厂",16,16,0.258,1.623,1868,11,"19","else",2019
"69100","下堡头电厂",16,16,0,1.365,1707,4,"19","else",2019
"71100","下堡头电厂",16,16,0,0.595,371.777,5,"20","else",2019
"72100","下堡头电厂",8,8,0.299,1.365,1707,3,"19","else",2019
"73100","下堡头电厂",16,16,0,1.365,1707,7,"19","else",2019
"74100","下堡头电厂",16,16,0,0.595,372,3,"20","else",2019
"75100","下堡头电厂",16,16,0.116,0.595,372,2,"20","else",2019
"76100","下堡头电厂",16,16,0,1.365,1707,10,"19","else",2019
"77100","下堡头电厂",16,16,0,1.365,1707,9,"19","else",2019
"78100","下堡头电厂",16,16,0.479,0.479,300,1,"20","else",2019
"79100","下堡头电厂",16,16,0,0.595,371.777,4,"20","else",2019
"80100","下堡头电厂",8,8,0.534,1.066,1333,2,"19","else",2019
"81","下堡头电厂",16,16,0,1.365,1707,8,"19","else",2019
"82100","下堡头电厂",16,16,0,1.365,1707,5,"19","else",2019
"83100","下堡头电厂",16,16,0,1.365,1707,6,"19","else",2019
"84100","下堡头电厂",16,13,0.691,2.314,1779.875,12,"19","else",2019
"85100","下堡头电厂",16,16,0,0.595,371.777,6,"20","else",2019
"19","世华光伏",3,3,0.024,0.427,1423.749,12,"16","中广核集团",NA
"20","世华光伏",3,3,0.033,0.4,1331.803,11,"17","中广核集团",NA
"21","世华光伏",3,3,0.025,0.366,1221.613,10,"17","中广核集团",NA
"22","世华光伏",3,3,0.029,0.029,97.333,1,"17","中广核集团",NA
"23","世华光伏",3,3,0.027,0.427,1422.133,12,"17","中广核集团",NA
"24","世华光伏",3,3,0.037,0.135,450.667,4,"17","中广核集团",NA
"25","世华光伏",3,3,0.03,0.059,198,2,"17","中广核集团",NA
"26","世华光伏",3,3,0.039,0.098,327.333,3,"17","中广核集团",NA
"27","世华光伏",3,3,0.048,0.184,611.667,5,"17","中广核集团",NA
"28","世华光伏",3,3,0.039,0.305,1015,8,"17","中广核集团",NA
"29","世华光伏",3,3,0.042,0.226,752.333,6,"17","中广核集团",NA
"30","世华光伏",3,3,0.04,0.265,884.667,7,"17","中广核集团",NA
"86100","世华光伏",3,3,0.036,0.171,569.073,5,"18","中广核集团",NA
"87100","世华光伏",3,3,0.026,0.026,86.613,1,"18","中广核集团",NA
"88100","世华光伏",3,3,0.032,0.058,193.127,2,"18","中广核集团",NA
"89100","世华光伏",3,3,0.039,0.135,450.577,4,"18","中广核集团",NA
"9017","世华光伏",3,3,0.038,0.096,319.817,3,"18","中广核集团",NA
"91100","世华光伏",3,3,0.04,0.211,703.717,6,"18","中广核集团",NA
"92100","世华光伏",3,3,0.032,0.314,1047.13,9,"18","中广核集团",NA
"93100","世华光伏",3,3,0.035,0.283,942.01,8,"18","中广核集团",NA
"94","世华光伏",3,3,0.036,0.247,824.283,7,"18","中广核集团",NA
"95","世华光伏",3,3,0.039,0.25,834,7,"19","中广核集团",2015
"96","世华光伏",3,3,0.043,0.171,570,5,"19","中广核集团",2015
"9710","世华光伏",3,3,0.023,0.401,1335.223,12,"18","中广核集团",2015
"9810","世华光伏",3,3,0.038,0.127,425,4,"19","中广核集团",2015
"9910","世华光伏",3,3,0.024,0.047,156,2,"19","中广核集团",2015
"10010","世华光伏",3,3,0.024,0.375,1249,11,"19","中广核集团",2015
"10110","世华光伏",3,3,0.026,0.378,1258.67,11,"18","中广核集团",2015
"10210","世华光伏",3,3,0.034,0.322,1073,9,"19","中广核集团",2015
"10310","世华光伏",3,3,0.023,0.023,76,1,"19","中广核集团",2015
"10410","世华光伏",3,3,0.029,0.351,1168,10,"19","中广核集团",2015
"10510","世华光伏",3,3,0.044,0.166,552.214,5,"20","中广核集团",2015
"10610","世华光伏",3,3,0.027,0.405,1348.799,12,"19","中广核集团",2015
"10710","世华光伏",3,3,0.02,0.035,118,2,"20","中广核集团",2015
"10810","世华光伏",3,3,0.045,0.079,264,3,"20","中广核集团",2015
"10910","世华光伏",3,3,0.038,0.288,959,8,"19","中广核集团",2015
"11010","世华光伏",3,3,0.015,0.015,51,1,"20","中广核集团",2015
"11110","世华光伏",3,3,0.04,0.211,703,6,"19","中广核集团",2015
"11210","世华光伏",3,3,0.038,0.203,678.094,6,"20","中广核集团",2015
"11310","世华光伏",3,3,0.043,0.09,300,3,"19","中广核集团",2015
"11410","世华光伏",3,3,0.042,0.122,406.508,4,"20","中广核集团",2015
"11510","世华光伏",3,3,0.037,0.351,1170.83,10,"18","中广核集团",2015
"32","东山燃气",86,86,0,19.642,2283.895,7,"17","华能集团公司",2017
"33","东山燃气",86,86,2.787,15.158,1762.535,4,"17","华能集团公司",2017
"34","东山燃气",86,86,3.939,27.434,3189.975,12,"17","华能集团公司",2017
"35","东山燃气",86,86,4.757,25.451,2959.372,12,"16","华能集团公司",2017
"36","东山燃气",86,86,1.71,19.642,2283.895,6,"17","华能集团公司",2017
"37","东山燃气",86,86,3.333,12.371,1438.477,3,"17","华能集团公司",2017
"38","东山燃气",86,86,3.109,23.495,2731.957,11,"17","华能集团公司",2017
"39","东山燃气",86,86,0.638,20.28,2358.14,8,"17","华能集团公司",2017
"40","东山燃气",86,86,2.775,17.932,2085.151,5,"17","华能集团公司",2017
"41","东山燃气",86,86,4.827,4.827,561.244,1,"17","华能集团公司",2017
"42","东山燃气",86,86,0.106,20.386,2370.458,10,"17","华能集团公司",2017
"43","东山燃气",86,86,4.211,9.038,1050.919,2,"17","华能集团公司",2017
"11610","东山燃气",86,86,0.064,11.959,1390,4,"19","华能集团公司",2017
"11710","东山燃气",86,86,0,11.959,1390,8,"19","华能集团公司",2017
"11810","东山燃气",86,86,4.19,4.19,487.158,1,"18","华能集团公司",2017
"11910","东山燃气",86,86,0.007,11.61,1350.029,4,"18","华能集团公司",2017
"12010","东山燃气",86,86,4.384,20.333,2364.248,12,"18","华能集团公司",2017
"12110","东山燃气",86,86,3.847,11.603,1349.214,3,"18","华能集团公司",2017
"12210","东山燃气",86,86,3.659,15.949,1854.48,11,"18","华能集团公司",2017
"12310","东山燃气",86,86,0,11.959,1390,9,"19","华能集团公司",2017
"12410","东山燃气",86,86,4.5,21.178,2462.505,12,"19","华能集团公司",2017
"12510","东山燃气",86,86,4.406,4.406,512,1,"19","华能集团公司",2017
"12610","东山燃气",86,86,0.606,12.565,1460,10,"19","华能集团公司",2017
"12710","东山燃气",86,86,4.113,16.678,1938,11,"19","华能集团公司",2017
"12810","东山燃气",86,86,3.105,11.911,1384.995,3,"20","华能集团公司",2017
"12910","东山燃气",86,86,0,11.959,1390,7,"19","华能集团公司",2017
"13010","东山燃气",86,86,0,11.61,1350.029,6,"18","华能集团公司",2017
"13110","东山燃气",86,86,0,12.329,1433.574,5,"20","华能集团公司",2017
"13210","东山燃气",86,86,3.492,11.895,1383,3,"19","华能集团公司",2017
"13310","东山燃气",86,86,0,11.61,1350.029,7,"18","华能集团公司",2017
"13410","东山燃气",86,86,0,11.61,1350.03,9,"18","华能集团公司",2017
"13510","东山燃气",86,86,4.701,4.701,547,1,"20","华能集团公司",2017
"13610","东山燃气",86,86,0,11.959,1390,5,"19","华能集团公司",2017
"13710","东山燃气",86,86,0,11.61,1350.029,5,"18","华能集团公司",2017
"13810","东山燃气",86,86,3.997,8.403,977,2,"19","华能集团公司",2017
"13910","东山燃气",86,86,0,11.61,1350.03,8,"18","华能集团公司",2017
"14010","东山燃气",86,86,0,12.329,1433.574,6,"20","华能集团公司",2017
"14110","东山燃气",86,86,3.567,7.757,901.927,2,"18","华能集团公司",2017
"14210","东山燃气",86,86,0.418,12.329,1433.574,4,"20","华能集团公司",2017
"14310","东山燃气",86,86,4.104,8.806,1024,2,"20","华能集团公司",2017
"14410","东山燃气",86,86,0,11.959,1390,6,"19","华能集团公司",2017
"14510","东山燃气",86,86,0.679,12.29,1429.04,10,"18","华能集团公司",2017
"44","东梁风电场",9.78,9.78,0.245,0.735,751.125,4,"17","中广核集团",2014
"45","东梁风电场",9.78,9.78,0.147,0.147,150.102,1,"17","中广核集团",2014
"46","东梁风电场",11.78,11.78,0.338,1.893,1606.572,11,"17","中广核集团",2014
"47","东梁风电场",11.78,11.78,0.108,1.305,1107.81,8,"17","中广核集团",2014
"48","东梁风电场",11.78,11.78,0.174,0.321,328.016,2,"17","中广核集团",2014
"49","东梁风电场",11.78,11.78,0.133,1.554,1319.427,10,"17","中广核集团",2014
"50","东梁风电场",9.78,9.78,0.169,0.49,500.716,3,"17","中广核集团",2014
"51","东梁风电场",9.78,9.78,0.15,1.808,1848.456,12,"16","中广核集团",2014
"52","东梁风电场",11.78,11.78,0.127,1.197,1016.129,7,"17","中广核集团",2014
"53","东梁风电场",11.78,11.78,0.119,1.07,908.574,6,"17","中广核集团",2014
"54","东梁风电场",11.78,11.78,0.216,0.951,807.301,5,"17","中广核集团",2014
"55","东梁风电场",11.78,11.78,0.353,2.246,1906.609,12,"17","中广核集团",2014
"14610","东梁风电场",11.78,11.78,0.31,0.31,263.459,1,"18","中广核集团",2014
"14710","东梁风电场",11.78,11.78,0.223,1.931,1639.24,9,"18","中广核集团",2014
"14810","东梁风电场",11.78,11.78,0.2,1.345,1141.488,5,"18","中广核集团",2014
"14910","东梁风电场",11.78,11.78,0.089,1.708,1450.31,8,"18","中广核集团",2014
"15010","东梁风电场",11.78,11.78,0.124,1.469,1246.952,6,"18","中广核集团",2014
"15110","东梁风电场",11.78,11.78,0.15,1.619,1374.514,7,"18","中广核集团",2014
"15210","东梁风电场",11.78,11.78,0.333,0.643,545.906,2,"18","中广核集团",2014
"15310","东梁风电场",11.78,11.78,0.258,0.901,764.913,3,"18","中广核集团",2014
"15410","东梁风电场",11.78,11.78,0.244,1.145,971.811,4,"18","中广核集团",2014
"56","东马坊风电场",14.85,14.85,0.18,0.602,405.253,3,"17","华能集团公司",2011
"57","东马坊风电场",14.85,14.85,0.208,0.208,140,1,"17","华能集团公司",2011
"58","东马坊风电场",14.85,14.85,0.463,2.81,1892.14,12,"17","华能集团公司",2011
"59","东马坊风电场",14.85,14.85,0.153,1.849,1244.96,10,"17","华能集团公司",2011
"60","东马坊风电场",14.85,14.85,0.498,2.347,1580.353,11,"17","华能集团公司",2011
"61","东马坊风电场",14.85,14.85,0.247,1.109,746.599,5,"17","华能集团公司",2011
"62","东马坊风电场",14.85,14.85,0.11,1.218,820.471,6,"17","华能集团公司",2011
"63","东马坊风电场",14.85,14.85,0.26,0.862,580.404,4,"17","华能集团公司",2011
"64","东马坊风电场",9.9,9.9,0.236,1.867,1885.713,12,"16","华能集团公司",2011
"65","东马坊风电场",14.85,14.85,0.136,1.488,1002.02,8,"17","华能集团公司",2011
"66","东马坊风电场",14.85,14.85,0.133,1.352,910.303,7,"17","华能集团公司",2011
"67","东马坊风电场",14.85,14.85,0.214,0.422,284.108,2,"17","华能集团公司",2011
"15510","东马坊风电场",14.85,14.85,0.084,2.173,1463.56,8,"18","华能集团公司",2011
"15610","东马坊风电场",14.85,14.85,0.335,1.501,1010.508,4,"18","华能集团公司",2011
"15710","东马坊风电场",14.85,14.85,0.431,0.851,572.952,2,"18","华能集团公司",2011
"15810","东马坊风电场",14.85,14.85,0.155,1.896,1276.807,6,"18","华能集团公司",2011
"15910","东马坊风电场",14.85,14.85,0.241,1.741,1172.609,5,"18","华能集团公司",2011
"16010","东马坊风电场",14.85,14.85,0.194,2.09,1407.187,7,"18","华能集团公司",2011
"16110","东马坊风电场",14.85,14.85,0.42,0.42,282.585,1,"18","华能集团公司",2011
"16210","东马坊风电场",14.85,14.85,0.324,2.497,1681.49,9,"18","华能集团公司",2011
"16310","东马坊风电场",14.85,14.85,0.315,1.166,785.162,3,"18","华能集团公司",2011
"16410","中垣山光伏",3,3,0.04,0.295,984,8,"19","格盟集团公司",2018
"16510","中垣山光伏",3,3,0.037,0.332,1107,9,"19","格盟集团公司",2018
"16610","中垣山光伏",3,3,0.022,0.05,168,2,"19","格盟集团公司",2018
"16710","中垣山光伏",3,3,0.027,0.389,1298,11,"19","格盟集团公司",2018
"16810","中垣山光伏",3,3,0.093,0.093,309.94,10,"18","格盟集团公司",2018
"169","中垣山光伏",3,3,0.038,0.136,454,4,"19","格盟集团公司",2018
"17010","中垣山光伏",3,3,0.028,0.121,403.48,11,"18","格盟集团公司",2018
"17110","中垣山光伏",3,3,0.037,0.255,851,7,"19","格盟集团公司",2018
"17210","中垣山光伏",3,3,0.046,0.102,340,3,"20","格盟集团公司",2018
"17310","中垣山光伏",3,3,0.047,0.098,326,3,"19","格盟集团公司",2018
"17410","中垣山光伏",3,3,0.029,0.151,501.76,12,"18","格盟集团公司",2018
"17510","中垣山光伏",3,3,0.031,0.363,1209,10,"19","格盟集团公司",2018
"17610","中垣山光伏",3,3,0.045,0.181,603,5,"19","格盟集团公司",2018
"17710","中垣山光伏",3,3,0.038,0.218,728,6,"19","格盟集团公司",2018
"17810","中垣山光伏",3,3,0.028,0.028,93,1,"19","格盟集团公司",NA
"17910","中垣山光伏",3,3,0.027,0.418,1393.797,12,"19","格盟集团公司",NA
"18010","中垣山光伏",3,3,0.022,0.022,72,1,"20","格盟集团公司",NA
"18110","中垣山光伏",3,3,0.035,0.057,188,2,"20","格盟集团公司",NA
"182","中垣山光伏",3,3,0.048,0.152,505.213,4,"20","格盟集团公司",NA
"18310","中垣山光伏",3,3,0.046,0.197,657.02,5,"20","格盟集团公司",NA
"18410","中垣山光伏",3,3,0.035,0.232,774.503,6,"20","格盟集团公司",NA
"18510","中垣山光伏二期",5,4.42,0.004,0.004,NA,4,"20","else",NA
"18610","中垣山光伏二期",5,4.42,0.007,0.011,31.45,5,"20","else",NA
"18710","中垣山光伏二期",5,4.42,0.006,0.017,45.989,6,"20","else",NA
"69","中能达光伏",3,3,0.021,0.236,788.098,12,"16","国家电投集团公司",NA
"70","中能达光伏",5,5,0.022,0.42,840.966,10,"17","国家电投集团公司",NA
"71","中能达光伏",5,5,0.03,0.482,963.942,12,"17","国家电投集团公司",NA
"72","中能达光伏",5,5,0.031,0.452,903.126,11,"17","国家电投集团公司",NA
"73","中能达光伏",5,5,0.051,0.152,304.4,4,"17","国家电投集团公司",NA
"74","中能达光伏",5,5,0.045,0.101,202,3,"17","国家电投集团公司",NA
"75","中能达光伏",5,5,0.061,0.213,426.8,5,"17","国家电投集团公司",NA
"76","中能达光伏",5,5,0.043,0.362,723.6,8,"17","国家电投集团公司",NA
"77","中能达光伏",5,5,0.029,0.056,112.6,2,"17","国家电投集团公司",NA
"78","中能达光伏",5,5,0.027,0.027,54,1,"17","国家电投集团公司",NA
"79","中能达光伏",5,5,0.051,0.319,638.2,7,"17","国家电投集团公司",NA
"80","中能达光伏",5,5,0.054,0.268,535.4,6,"17","国家电投集团公司",NA
"18810","中能达光伏",5,5,0.023,0.023,46.284,1,"18","国家电投集团公司",NA
"18910","中能达光伏",5,5,0.051,0.311,622.902,7,"18","国家电投集团公司",NA
"19010","中能达光伏",5,5,0.054,0.155,309.792,4,"18","国家电投集团公司",NA
"19110","中能达光伏",5,5,0.047,0.101,202.272,3,"18","国家电投集团公司",NA
"19210","中能达光伏",5,5,0.031,0.054,108.234,2,"18","国家电投集团公司",NA
"19310","中能达光伏",5,5,0.051,0.261,521.724,6,"18","国家电投集团公司",NA
"19410","中能达光伏",5,5,0.056,0.368,735.61,8,"18","国家电投集团公司",NA
"195","中能达光伏",5,5,0.039,0.407,813.77,9,"18","国家电投集团公司",NA
"196","中能达光伏",5,5,0.055,0.21,420.714,5,"18","国家电投集团公司",NA
"197","中能达光伏",5,5,0.044,0.383,764,9,"19","国家电投集团公司",2017
"19810","中能达光伏",5,5,0.046,0.205,409.14,6,"20","国家电投集团公司",2017
"19910","中能达光伏",5,5,0.025,0.483,966.23,11,"18","国家电投集团公司",2017
"20010","中能达光伏",5,5,0.051,0.458,915.68,10,"18","国家电投集团公司",2017
"20110","中能达光伏",5,5,0.023,0.023,47,1,"19","国家电投集团公司",2017
"20210","中能达光伏",5,5,0.026,0.409,817,10,"19","国家电投集团公司",2017
"20310","中能达光伏",5,5,0.018,0.427,854,11,"19","国家电投集团公司",2017
"20410","中能达光伏",5,5,0.047,0.339,676,8,"19","国家电投集团公司",2017
"20510","中能达光伏",5,5,0.025,0.452,904.284,12,"19","国家电投集团公司",2017
"20610","中能达光伏",5,5,0.047,0.292,583,7,"19","国家电投集团公司",2017
"20710","中能达光伏",5,5,0.022,0.505,1010.226,12,"18","国家电投集团公司",2017
"20810","中能达光伏",5,5,0.061,0.199,398,5,"19","国家电投集团公司",2017
"20910","中能达光伏",5,5,0.024,0.048,95,2,"19","国家电投集团公司",2017
"21010","中能达光伏",5,5,0.049,0.098,195.36,4,"20","国家电投集团公司",2017
"21110","中能达光伏",5,5,0.043,0.09,180,3,"19","国家电投集团公司",2017
"21210","中能达光伏",5,5,0.046,0.245,489,6,"19","国家电投集团公司",2017
"21310","中能达光伏",5,5,0.002,0.008,17,2,"20","国家电投集团公司",2017
"21410","中能达光伏",5,5,0.04,0.048,97,3,"20","国家电投集团公司",2017
"21510","中能达光伏",5,5,0.06,0.158,316.341,5,"20","国家电投集团公司",2017
"21610","中能达光伏",5,5,0.006,0.006,13,1,"20","国家电投集团公司",2017
"21710","中能达光伏",5,5,0.048,0.138,275,4,"19","国家电投集团公司",2017
"82","丰庄光伏",5,5,0.068,0.235,469.2,4,"17","上实航天星河能源股份有限公司",NA
"83","丰庄光伏",5,5,0.04,0.325,650.756,12,"16","上实航天星河能源股份有限公司",NA
"84","丰庄光伏",5,5,0.054,0.643,1285.592,11,"17","上实航天星河能源股份有限公司",NA
"85","丰庄光伏",5,5,0.043,0.589,1178.56,10,"17","上实航天星河能源股份有限公司",NA
"86","丰庄光伏",5,5,0.069,0.304,608,5,"17","上实航天星河能源股份有限公司",NA
"87","丰庄光伏",5,5,0.048,0.69,1380.62,12,"17","上实航天星河能源股份有限公司",NA
"88","丰庄光伏",5,5,0.054,0.094,187.2,2,"17","上实航天星河能源股份有限公司",NA
"89","丰庄光伏",5,5,0.039,0.039,78.4,1,"17","上实航天星河能源股份有限公司",NA
"90","丰庄光伏",5,5,0.073,0.167,333.8,3,"17","上实航天星河能源股份有限公司",NA
"91","丰庄光伏",5,5,0.066,0.37,740.6,6,"17","上实航天星河能源股份有限公司",NA
"92","丰庄光伏",5,5,0.057,0.485,970.8,8,"17","上实航天星河能源股份有限公司",NA
"93","丰庄光伏",5,5,0.058,0.429,857.2,7,"17","上实航天星河能源股份有限公司",NA
"21810","丰庄光伏",5,5,0.043,0.043,85.08,1,"18","上实航天星河能源股份有限公司",NA
"21910","丰庄光伏",5,5,0.061,0.324,648.472,6,"18","上实航天星河能源股份有限公司",NA
"22010","丰庄光伏",5,5,0.044,0.086,173,2,"18","上实航天星河能源股份有限公司",NA
"22110","丰庄光伏",5,5,0.049,0.136,271.918,3,"18","上实航天星河能源股份有限公司",NA
"22210","丰庄光伏",5,5,0.061,0.197,393.914,4,"18","上实航天星河能源股份有限公司",NA
"22310","丰庄光伏",5,5,0.066,0.263,526.756,5,"18","上实航天星河能源股份有限公司",NA
"22410","丰庄光伏",5,5,0.057,0.381,761.904,7,"18","上实航天星河能源股份有限公司",NA
"22510","丰庄光伏",5,5,0.057,0.438,876.78,8,"18","上实航天星河能源股份有限公司",NA
"22610","丰庄光伏",5,5,0.055,0.493,985.98,9,"18","上实航天星河能源股份有限公司",NA
"22710","丰庄光伏",5,5,0.066,0.21,420,4,"19","上实航天星河能源股份有限公司",2017
"22810","丰庄光伏",5,5,0.072,0.31,619.866,5,"20","上实航天星河能源股份有限公司",2017
"22910","丰庄光伏",5,5,0.037,0.596,1191.95,11,"18","上实航天星河能源股份有限公司",2017
"23010","丰庄光伏",5,5,0.037,0.037,74,1,"19","上实航天星河能源股份有限公司",2017
"23110","丰庄光伏",5,5,0.063,0.41,820,7,"19","上实航天星河能源股份有限公司",2017
"23210","丰庄光伏",5,5,0.052,0.594,1188,10,"19","上实航天星河能源股份有限公司",2017
"23310","丰庄光伏",5,5,0.037,0.037,75,1,"20","上实航天星河能源股份有限公司",2017
"23410","丰庄光伏",5,5,0.064,0.348,695,6,"19","上实航天星河能源股份有限公司",2017
"23510","丰庄光伏",5,5,0.077,0.16,321,3,"20","上实航天星河能源股份有限公司",2017
"23610","丰庄光伏",5,5,0.062,0.372,744.798,6,"20","上实航天星河能源股份有限公司",2017
"23710","丰庄光伏",5,5,0.066,0.559,1118.9,10,"18","上实航天星河能源股份有限公司",2017
"23810","丰庄光伏",5,5,0.069,0.145,289,3,"19","上实航天星河能源股份有限公司",2017
"239","丰庄光伏",5,5,0.041,0.637,1274.886,12,"18","上实航天星河能源股份有限公司",2017
"240","丰庄光伏",5,5,0.069,0.479,958,8,"19","上实航天星河能源股份有限公司",2017
"24110","丰庄光伏",5,5,0.042,0.636,1272,11,"19","上实航天星河能源股份有限公司",2017
