"","area3","year","GDP","GDP per capita","GDPperMonth","X.1","X","month","capacity","complete","generated_el","time","parent_company","op_time","area","plant_1","wind","Hydro","photovoltaic","Fossil.fuel","big_five","yearmonth","bf_covid","type_of_p","af_covid","new_case","on_covid","efficiency"
"29","changzhi",17,14775312,42887,1231276,792,792,3,84,16980,5.983,712.214,"同煤集团",0,"长治市郊区","zhangzedianchang",0,0,0,1,0,"Mar 2017",1,"fossil-fuel",0,0,0,0.280753968253968
"30","changzhi",17,14775312,42887,1231276,1343,1343,6,27,7120,4.462,1652.407,"潞安集团",0,"长治市屯留县","ronghaidianchang",0,0,0,1,0,"Jun 2017",1,"fossil-fuel",0,0,0,0.366255144032922
"31","changzhi",17,14775312,42887,1231276,2725,2725,12,10,290,0.044,43.6,"三峡集团",2017,"长治市平顺县","xiaxinguangfu",0,0,1,0,0,"Dec 2017",1,"photovoltaic",0,0,0,0.0402777777777778
"32","changzhi",17,14775312,42887,1231276,1398,1398,6,120,31870,23.312,1942.7,"焦煤集团",0,"长治市武乡县","wuxiangdianchang",0,0,0,1,0,"Jun 2017",1,"fossil-fuel",0,0,0,0.368865740740741
"33","changzhi",17,14775312,42887,1231276,934,934,4,60,26690,7.38,1229.95,"京能集团",0,"长治市郊","zhangshanyiqi",0,0,0,1,0,"Apr 2017",1,"fossil-fuel",0,0,0,0.617824074074074
"34","changzhi",17,14775312,42887,1231276,2155,2155,9,4,360,0.105,262.812,"else",2017,"长治市潞城县","shengyangguangfu",0,0,1,0,0,"Sep 2017",1,"photovoltaic",0,0,0,0.125
"35","changzhi",17,14775312,42887,1231276,2032,2032,9,10,430,0.103,103.376,"协鑫集团",2015,"长治市沁源县","xuexinguangfu",0,0,1,0,0,"Sep 2017",1,"photovoltaic",0,0,0,0.0597222222222222
"36","changzhi",17,14775312,42887,1231276,653,653,3,27,7550,2.035,753.889,"潞安集团",0,"长治市屯留县","yuwudianchang",0,0,0,1,0,"Mar 2017",1,"fossil-fuel",0,0,0,0.388374485596708
"37","changzhi",17,14775312,42887,1231276,2031,2031,9,120,50260,40.415,3367.952,"焦煤集团",0,"长治市武乡县","wuxiangdianchang",0,0,0,1,0,"Sep 2017",1,"fossil-fuel",0,0,0,0.581712962962963
"38","changzhi",17,14775312,42887,1231276,2893,2893,12,27,13630,10.466,3876.333,"晋煤集团",0,"长治市武乡县","jinyangdianchang",0,0,0,1,0,"Dec 2017",1,"fossil-fuel",0,0,0,0.701131687242798
"39","changzhi",17,14775312,42887,1231276,1138,1138,5,66,11720,9.706,1470.591,"晋能集团",0,"长治市长子县","lanshuidianchang",0,0,0,1,0,"May 2017",1,"fossil-fuel",0,0,0,0.246632996632997
"40","changzhi",17,14775312,42887,1231276,2785,2785,12,24.9,8020,4.11,1650.651,"国电集团公司",2013,"长治市沁源县","taiyueshanfengdianchang",1,0,0,0,1,"Dec 2017",1,"wind",0,0,0,0.447344935296743
"41","changzhi",17,14775312,42887,1231276,490,490,2,24.9,3510,0.606,243.173,"国电集团公司",2013,"长治市沁源县","taiyueshanfengdianchang",1,0,0,0,1,"Feb 2017",1,"wind",0,0,0,0.195783132530121
"42","changzhi",17,14775312,42887,1231276,2129,2129,9,120,31970,30.634,2552.825,"京能集团",0,"长治市郊","zhangshanerqi",0,0,0,1,0,"Sep 2017",1,"fossil-fuel",0,0,0,0.370023148148148
"43","changzhi",17,14775312,42887,1231276,1657,1657,7,84,34280,14.483,1724.226,"同煤集团",0,"长治市郊区","zhangzedianchang",0,0,0,1,0,"Jul 2017",1,"fossil-fuel",0,0,0,0.566798941798942
"44","changzhi",17,14775312,42887,1231276,1724,1724,8,27,7220,5.942,2200.926,"潞安集团",0,"长治市屯留县","ronghaidianchang",0,0,0,1,0,"Aug 2017",1,"fossil-fuel",0,0,0,0.371399176954732
"45","changzhi",17,14775312,42887,1231276,546,546,2,120,30710,6.522,543.517,"焦煤集团",0,"长治市武乡县","wuxiangdianchang",0,0,0,1,0,"Feb 2017",1,"fossil-fuel",0,0,0,0.355439814814815
"46","changzhi",17,14775312,42887,1231276,2284,2284,10,27,4620,7.079,2621.99,"潞安集团",0,"长治市屯留县","ronghaidianchang",0,0,0,1,0,"Oct 2017",1,"fossil-fuel",0,0,0,0.237654320987654
"47","changzhi",17,14775312,42887,1231276,2270,2270,10,24.9,1710,2.637,1059.116,"国电集团公司",2013,"长治市沁源县","taiyueshanfengdianchang",1,0,0,0,1,"Oct 2017",1,"wind",0,0,0,0.0953815261044177
"48","changzhi",17,14775312,42887,1231276,1513,1513,7,66,22440,13.707,2076.773,"晋能集团",0,"长治市长子县","lanshuidianchang",0,0,0,1,0,"Jul 2017",1,"fossil-fuel",0,0,0,0.472222222222222
"49","changzhi",17,14775312,42887,1231276,2945,2945,12,3,350,0.42,1400.243,"同煤集团",0,"长治市平顺县","longxiguangfu",0,0,1,0,0,"Dec 2017",1,"photovoltaic",0,0,0,0.162037037037037
"50","changzhi",17,14775312,42887,1231276,856,856,4,27,9180,2.954,1093.889,"潞安集团",0,"长治市屯留县","yuwudianchang",0,0,0,1,0,"Apr 2017",1,"fossil-fuel",0,0,0,0.472222222222222
"51","changzhi",17,14775312,42887,1231276,598,598,2,7.95,670,0.119,240,"else",0,"长治市平顺县","hongtiguanfengdianchang",1,0,0,0,0,"Feb 2017",1,"wind",0,0,0,0.117051013277428
"52","changzhi",17,14775312,42887,1231276,2082,2082,9,5,80,0.008,15.834,"特变电工",2017,"长治市沁源县","huiyuanguangfu",0,0,1,0,0,"Sep 2017",1,"photovoltaic",0,0,0,0.0222222222222222
"53","changzhi",17,14775312,42887,1231276,2607,2607,11,120,34030,47.057,3921.457,"焦煤集团",0,"长治市武乡县","wuxiangdianchang",0,0,0,1,0,"Nov 2017",1,"fossil-fuel",0,0,0,0.393865740740741
"54","changzhi",17,14775312,42887,1231276,986,986,4,4.95,960,0.301,608.687,"else",0,"长治市平顺县","hongtiguanfengdianchang",1,0,0,0,0,"Apr 2017",1,"wind",0,0,0,0.269360269360269
"55","changzhi",17,14775312,42887,1231276,2693,2693,11,3,370,0.385,1282.667,"同煤集团",0,"长治市平顺县","longxiguangfu",0,0,1,0,0,"Nov 2017",1,"photovoltaic",0,0,0,0.171296296296296
"56","changzhi",17,14775312,42887,1231276,831,831,3,27,6990,1.896,702.259,"晋煤集团",0,"长治市武乡县","jinyangdianchang",0,0,0,1,0,"Mar 2017",1,"fossil-fuel",0,0,0,0.359567901234568
"57","changzhi",17,14775312,42887,1231276,533,533,2,3,330,0.066,219.333,"同煤集团",0,"长治市平顺县","longxiguangfu",0,0,1,0,0,"Feb 2017",1,"photovoltaic",0,0,0,0.152777777777778
"58","changzhi",17,14775312,42887,1231276,1632,1632,7,120,56310,28.944,2411.983,"焦煤集团",0,"长治市武乡县","wuxiangdianchang",0,0,0,1,0,"Jul 2017",1,"fossil-fuel",0,0,0,0.651736111111111
"59","changzhi",17,14775312,42887,1231276,1108,1108,5,27,6880,3.75,1388.852,"潞安集团",0,"长治市屯留县","ronghaidianchang",0,0,0,1,0,"May 2017",1,"fossil-fuel",0,0,0,0.353909465020576
"60","changzhi",17,14775312,42887,1231276,2797,2797,12,27,7660,8.527,3158.256,"潞安集团",0,"长治市屯留县","ronghaidianchang",0,0,0,1,0,"Dec 2017",1,"fossil-fuel",0,0,0,0.3940329218107
"61","changzhi",17,14775312,42887,1231276,2522,2522,11,24.9,6710,3.308,1328.686,"国电集团公司",2013,"长治市沁源县","taiyueshanfengdianchang",1,0,0,0,1,"Nov 2017",1,"wind",0,0,0,0.374274877286925
"62","changzhi",17,14775312,42887,1231276,2377,2377,10,4,260,0.131,327.913,"else",2017,"长治市潞城县","shengyangguangfu",0,0,1,0,0,"Oct 2017",1,"photovoltaic",0,0,0,0.0902777777777778
"63","changzhi",17,14775312,42887,1231276,1877,1877,8,120,33200,27.437,2286.425,"京能集团",0,"长治市郊","zhangshanerqi",0,0,0,1,0,"Aug 2017",1,"fossil-fuel",0,0,0,0.384259259259259
"64","changzhi",17,14775312,42887,1231276,1880,1880,8,84,22780,16.762,1995.452,"同煤集团",0,"长治市郊区","zhangzedianchang",0,0,0,1,0,"Aug 2017",1,"fossil-fuel",0,0,0,0.376653439153439
"65","changzhi",17,14775312,42887,1231276,1457,1457,6,3,240,0.218,726.333,"同煤集团",0,"长治市平顺县","longxiguangfu",0,0,1,0,0,"Jun 2017",1,"photovoltaic",0,0,0,0.111111111111111
"66","changzhi",17,14775312,42887,1231276,1925,1925,8,3,360,0.289,962.667,"同煤集团",0,"长治市平顺县","longxiguangfu",0,0,1,0,0,"Aug 2017",1,"photovoltaic",0,0,0,0.166666666666667
